time,dl_lw1,dl_lw2,dl_lw3,dl_lw4
2025-04-20 22:40:26.922120,293.17,0,0,0
2025-04-20 22:40:27.955407,300.94,0,0,0
2025-04-20 22:40:28.917140,308.11,0,0,0
2025-04-20 22:40:29.922351,314.44,0,0,0
2025-04-20 22:40:30.944699,320.77,0,0,0
2025-04-20 22:40:31.917832,326.23,0,0,0
2025-04-20 22:40:32.936638,330.88,0,0,0
2025-04-20 22:40:33.916769,336.34,0,0,0
2025-04-20 22:40:34.917470,340.98,0,0,0
2025-04-20 22:40:35.925108,344.81,0,0,0
2025-04-20 22:40:36.927952,348.63,0,0,0
2025-04-20 22:40:37.924111,352.45,0,0,0
2025-04-20 22:40:38.935433,355.82,0,0,0
2025-04-20 22:40:39.919821,359.65,0,0,0
2025-04-20 22:40:40.967134,363.02,0,0,0
2025-04-20 22:40:41.947885,366.39,0,0,0
2025-04-20 22:40:42.944502,369.07,0,0,0
2025-04-20 22:40:43.949121,371.74,0,0,0
2025-04-20 22:40:44.927290,375.12,0,0,0
2025-04-20 22:40:45.934482,377.79,0,0,0
2025-04-20 22:40:46.934673,380.46,0,0,0
2025-04-20 22:40:47.976967,383.14,0,0,0
2025-04-20 22:40:48.925303,385.81,0,0,0
2025-04-20 22:40:49.954640,388.49,0,0,0
2025-04-20 22:40:51.007665,390.56,0,0,0
2025-04-20 22:40:51.929831,392.63,0,0,0
2025-04-20 22:40:52.929027,394.7,0,0,0
2025-04-20 22:40:53.925867,396.77,0,0,0
2025-04-20 22:40:54.940491,398.85,0,0,0
2025-04-20 22:40:55.931830,400.92,0,0,0
2025-04-20 22:40:56.931845,402.57,0,0,0
2025-04-20 22:40:57.949357,404.22,0,0,0
2025-04-20 22:40:58.941974,405.45,0,0,0
2025-04-20 22:40:59.962849,407.11,0,0,0
2025-04-20 22:41:00.993110,407.11,0,0,0.84
2025-04-20 22:41:01.935160,408.76,0,0,0.84
2025-04-20 22:41:02.941919,410.41,0,0,0.84
2025-04-20 22:41:03.952625,411.64,0,0,0.84
2025-04-20 22:41:04.947158,411.64,0,0,2.07
2025-04-20 22:41:05.946067,411.64,0,0,2.07
2025-04-20 22:41:06.993187,411.64,0,0,3.3
2025-04-20 22:41:07.955744,411.64,1.23,0,3.3
2025-04-20 22:41:08.957920,411.64,2.88,0,3.3
2025-04-20 22:41:09.990267,411.64,4.12,0,3.3
2025-04-20 22:41:11.015162,411.64,4.12,0,4.54
2025-04-20 22:41:11.961773,412.48,4.12,0,4.54
2025-04-20 22:41:12.963118,412.48,5.35,0,4.54
2025-04-20 22:41:13.953819,412.48,5.35,0,6.19
2025-04-20 22:41:14.960791,412.48,5.35,0,7.42
2025-04-20 22:41:15.950319,412.48,5.35,0,9.07
2025-04-20 22:41:17.008411,412.48,5.35,0,10.72
2025-04-20 22:41:18.010941,412.48,5.35,0,11.96
2025-04-20 22:41:19.039430,412.48,6.58,0,11.96
2025-04-20 22:41:20.050337,412.48,6.58,0,13.61
2025-04-20 22:41:21.082767,412.48,6.58,0,15.26
2025-04-20 22:41:22.100593,412.48,6.58,0,17.33
2025-04-20 22:41:23.175659,412.48,6.58,0,18.98
2025-04-20 22:41:24.197467,412.48,6.58,0,20.64
2025-04-20 22:41:25.197032,412.48,6.58,0,21.87
2025-04-20 22:41:26.203644,412.48,6.58,0,23.1
2025-04-20 22:41:27.221548,412.48,6.58,0,25.17
2025-04-20 22:41:28.227147,412.48,6.58,0,26.82
2025-04-20 22:41:29.293059,412.48,6.58,0,28.48
2025-04-20 22:41:30.280533,412.48,6.58,0,30.13
2025-04-20 22:41:31.321063,412.48,6.58,0,31.36
2025-04-20 22:41:32.341894,412.48,8.23,0,31.36
2025-04-20 22:41:33.377197,412.48,9.88,0,31.36
2025-04-20 22:41:34.399515,412.48,11.12,0,31.36
2025-04-20 22:41:35.431725,412.48,11.12,0,33.01
2025-04-20 22:41:36.475301,412.48,11.12,0,34.66
2025-04-20 22:41:37.456357,412.48,11.12,0,36.32
2025-04-20 22:41:38.521997,412.48,11.12,0,37.55
2025-04-20 22:41:39.591506,412.48,12.77,0,37.55
2025-04-20 22:41:40.710621,412.48,14,0,37.55
2025-04-20 22:41:41.725678,412.48,14,0,39.2
2025-04-20 22:41:42.718153,412.48,15.65,0,39.2
2025-04-20 22:41:43.745579,412.48,16.88,0,39.2
2025-04-20 22:41:44.796947,413.71,16.88,0,39.2
2025-04-20 22:41:45.796832,413.71,18.54,0,39.2
2025-04-20 22:41:46.889691,413.71,20.19,0,39.2
2025-04-20 22:41:47.878864,413.71,22.26,0,39.2
2025-04-20 22:41:48.930489,413.71,24.33,0,39.2
2025-04-20 22:41:49.925047,413.71,26.4,0,39.2
2025-04-20 22:41:50.931587,413.71,28.48,0,39.2
2025-04-20 22:41:51.971509,413.71,30.55,0,39.2
2025-04-20 22:41:52.995184,413.71,32.62,0,39.2
2025-04-20 22:41:54.021242,413.71,35.29,0,39.2
2025-04-20 22:41:55.033171,413.71,37.37,0,39.2
2025-04-20 22:41:56.084663,413.71,40.04,0,39.2
2025-04-20 22:41:57.096345,413.71,42.71,0,39.2
2025-04-20 22:41:58.110344,413.71,44.79,0,39.2
2025-04-20 22:41:59.158719,413.71,47.46,0,39.2
2025-04-20 22:42:00.177334,413.71,50.13,0,39.2
2025-04-20 22:42:01.228733,413.71,53.96,0,39.2
2025-04-20 22:42:02.195879,413.71,57.33,0,39.2
2025-04-20 22:42:03.199928,413.71,60,0,39.2
2025-04-20 22:42:04.224394,413.71,63.83,0,39.2
2025-04-20 22:42:05.253118,413.71,67.2,0,39.2
2025-04-20 22:42:06.281998,413.71,69.87,0,39.2
2025-04-20 22:42:07.256488,413.71,73.7,0,39.2
2025-04-20 22:42:08.328803,413.71,77.07,0,39.2
2025-04-20 22:42:09.277470,413.71,80.89,0,39.2
2025-04-20 22:42:10.277856,413.71,84.71,0,39.2
2025-04-20 22:42:11.303053,413.71,88.09,0,39.2
2025-04-20 22:42:12.373879,413.71,91.91,0,39.2
2025-04-20 22:42:13.383062,413.71,95.73,0,39.2
2025-04-20 22:42:14.358191,413.71,99.55,0,39.2
2025-04-20 22:42:15.372183,413.71,103.38,0,39.2
2025-04-20 22:42:16.377342,413.71,107.2,0,39.2
2025-04-20 22:42:17.403665,413.71,111.02,0,39.2
2025-04-20 22:42:18.428588,413.71,114.84,0,39.2
2025-04-20 22:42:19.441774,413.71,118.66,0,39.2
2025-04-20 22:42:20.450075,413.71,122.49,0,39.2
2025-04-20 22:42:21.471951,413.71,126.31,0,39.2
2025-04-20 22:42:22.494888,413.71,130.96,0,39.2
2025-04-20 22:42:23.488157,413.71,135.6,0,39.2
2025-04-20 22:42:24.524334,413.71,140.25,0,39.2
2025-04-20 22:42:25.536301,413.71,144.07,0,39.2
2025-04-20 22:42:26.550097,413.71,148.72,0,39.2
2025-04-20 22:42:27.567019,413.71,152.54,0,39.2
2025-04-20 22:42:28.601550,413.71,156.37,0,39.2
2025-04-20 22:42:29.593679,413.71,160.19,0,39.2
2025-04-20 22:42:30.599970,413.71,164.01,0,39.2
2025-04-20 22:42:31.625938,413.71,168.66,0,39.2
2025-04-20 22:42:32.631389,413.71,172.48,0,39.2
2025-04-20 22:42:33.653098,413.71,177.13,0,39.2
2025-04-20 22:42:34.692451,413.71,180.95,0,39.2
