time,snr_lw1,snr_lw2,snr_lw3,snr_lw4
2025-04-20 22:40:59.962945,3.485069,2.939732,-1.841131,1.249027
2025-04-20 22:41:00.993338,5.131565,3.640648,-4.040539,4.373276
2025-04-20 22:41:01.935768,4.778946,4.66972,-12.926468,3.121761
2025-04-20 22:41:02.942106,4.224453,4.012787,-3.811504,4.494564
2025-04-20 22:41:03.953210,3.631218,3.551281,-4.63061,3.074223
2025-04-20 22:41:04.947280,-13.818035,3.932747,-2.890015,4.401543
2025-04-20 22:41:05.946283,3.605671,4.907078,-4.492292,3.972599
2025-04-20 22:41:06.993815,2.769844,3.939514,-4.744505,3.576431
2025-04-20 22:41:07.955786,3.351421,4.986656,-4.915009,-34.745758
2025-04-20 22:41:08.958444,2.306229,2.733746,-6.054506,5.074265
2025-04-20 22:41:09.990497,3.628677,3.050575,-4.409821,3.601067
2025-04-20 22:41:11.015464,1.395454,4.515854,-3.412476,3.806347
2025-04-20 22:41:11.961822,1.592451,3.314461,-5.704231,4.163448
2025-04-20 22:41:12.963230,2.756794,3.642441,-3.695116,4.742683
2025-04-20 22:41:13.953954,3.722446,3.805817,-3.145313,4.076397
2025-04-20 22:41:14.960997,3.525345,1.842678,-3.254404,5.837532
2025-04-20 22:41:15.950636,3.703587,4.206512,-3.49235,5.398624
2025-04-20 22:41:17.008665,3.438496,3.788548,-3.935272,3.636673
2025-04-20 22:41:18.011225,2.977989,2.587986,-5.303497,4.126827
2025-04-20 22:41:19.039790,4.201206,3.075371,-7.120373,5.031761
2025-04-20 22:41:20.050494,3.935284,1.755625,-5.408619,4.364483
2025-04-20 22:41:21.083031,3.577385,2.576958,-4.420641,6.2486
2025-04-20 22:41:22.101070,3.958618,3.448418,-3.853182,5.535728
2025-04-20 22:41:23.176020,2.669411,3.34663,-4.135902,4.646729
2025-04-20 22:41:24.197508,2.822773,3.342178,-4.119427,3.487598
2025-04-20 22:41:25.197306,2.695599,1.4846,-5.077778,3.696915
2025-04-20 22:41:26.203735,1.190943,3.544582,-5.808842,6.155643
2025-04-20 22:41:27.221612,1.547747,2.862186,-4.19952,4.325428
2025-04-20 22:41:28.227291,2.48909,3.190842,-4.848843,5.06115
2025-04-20 22:41:29.293328,2.407894,3.124271,-3.780357,5.093063
2025-04-20 22:41:30.280647,3.012978,3.082409,-4.169825,3.419003
2025-04-20 22:41:31.321119,3.53688,4.712193,-4.836403,3.889153
2025-04-20 22:41:32.342266,4.317299,4.709858,-2.850929,3.584965
2025-04-20 22:41:33.377237,2.986935,3.992687,-5.698135,4.964542
2025-04-20 22:41:34.399557,0.861715,3.332062,-4.371851,4.96035
2025-04-20 22:41:35.431913,2.33939,3.355831,-4.567171,4.366287
2025-04-20 22:41:36.475465,-6.933262,2.392838,-3.467285,4.446358
2025-04-20 22:41:37.456412,3.671448,4.875004,-4.313677,3.376297
2025-04-20 22:41:38.522386,3.590378,5.390846,-5.377165,3.04982
2025-04-20 22:41:39.591571,2.833229,3.366558,-4.022673,4.232056
2025-04-20 22:41:40.711049,4.081387,4.533798,-10.835958,4.31522
2025-04-20 22:41:41.726126,3.425961,5.643913,-3.328327,4.174255
2025-04-20 22:41:42.718193,4.468262,3.75449,-3.86618,2.478317
2025-04-20 22:41:43.745811,3.784389,6.418877,-4.815533,2.328827
2025-04-20 22:41:44.797610,3.819153,5.840046,-5.529116,2.09602
2025-04-20 22:41:45.796963,4.103947,5.205036,-3.876347,3.035954
2025-04-20 22:41:46.889733,3.177258,7.921307,-3.887951,4.3339
2025-04-20 22:41:47.879116,3.490063,6.778435,-6.976292,1.835739
2025-04-20 22:41:48.930747,-10.316374,6.121742,-3.576466,2.145641
2025-04-20 22:41:49.925168,2.922798,7.462524,-4.270941,2.337555
2025-04-20 22:41:50.932010,2.068913,7.093563,-4.648348,3.288536
2025-04-20 22:41:51.971866,4.470509,6.939053,-4.105434,1.500246
2025-04-20 22:41:52.995252,2.698334,8.219666,-4.893621,1.777777
2025-04-20 22:41:54.021376,3.304493,7.711304,-5.932117,0.517349
2025-04-20 22:41:55.033483,1.385475,8.511711,-4.437359,0.697144
2025-04-20 22:41:56.085056,1.413509,8.707375,-3.560131,0.100077
2025-04-20 22:41:57.096389,5.35886,7.633064,-4.175293,1.058084
2025-04-20 22:41:58.110509,2.700897,10.228493,-6.041731,0.571749
2025-04-20 22:41:59.158904,4.0252,9.903263,-3.244499,0.530489
2025-04-20 22:42:00.177583,2.971977,12.129414,-3.187548,1.186899
2025-04-20 22:42:01.228989,4.210503,10.384769,-4.001148,2.200584
2025-04-20 22:42:02.196100,1.881849,10.015133,-4.512497,-0.310888
2025-04-20 22:42:03.200136,3.140087,12.146198,-4.403246,1.266653
2025-04-20 22:42:04.224681,3.918159,10.980446,-4.565521,1.560535
2025-04-20 22:42:05.253687,3.227573,9.579201,-3.070499,-0.912388
2025-04-20 22:42:06.282198,2.954491,13.739319,-4.42588,0.353127
2025-04-20 22:42:07.256583,2.496456,10.755291,-3.871788,-1.609299
2025-04-20 22:42:08.328978,2.850578,11.73476,-5.187723,0.137283
2025-04-20 22:42:09.277653,2.723457,12.740662,-6.552927,0.536947
2025-04-20 22:42:10.278107,0.865582,11.55439,-3.641499,0.47761
2025-04-20 22:42:11.303753,1.986164,13.083054,-6.241783,-0.227922
2025-04-20 22:42:12.374220,1.946089,12.856007,-4.814257,0.158146
2025-04-20 22:42:13.383269,3.015366,11.702866,-3.298115,-0.311321
2025-04-20 22:42:14.359367,2.622192,12.566956,-7.868698,-0.079504
2025-04-20 22:42:15.372794,3.155937,12.407913,-4.179207,-1.448044
2025-04-20 22:42:16.377626,2.90844,12.546021,-6.100252,-1.148514
2025-04-20 22:42:17.404400,1.017862,13.127129,-3.387381,-1.120951
2025-04-20 22:42:18.429226,-0.03336,13.37196,-5.849413,-3.755835
2025-04-20 22:42:19.442386,-0.150774,13.719994,-5.130093,-1.137022
2025-04-20 22:42:20.450245,1.608767,13.429432,-5.175598,-3.273779
2025-04-20 22:42:21.472347,1.444059,14.394192,-3.73196,-2.284309
2025-04-20 22:42:22.495301,-3.773226,14.2556,-4.279259,-13.528381
2025-04-20 22:42:23.553451,0.762648,14.657646,-5.863907,-2.145292
2025-04-20 22:42:24.524680,1.113499,13.290829,-4.610334,-1.462172
2025-04-20 22:42:25.536341,0.074804,14.839371,-4.135262,-2.930017
2025-04-20 22:42:26.550469,1.719442,12.470432,-5.023458,-2.831472
2025-04-20 22:42:27.567393,1.548979,11.912861,-3.911158,-1.743486
2025-04-20 22:42:28.601810,-1.087038,13.951561,-4.039743,-1.637379
2025-04-20 22:42:29.594059,2.065037,13.645241,-6.275547,-1.066198
2025-04-20 22:42:30.600269,2.714279,14.123943,-5.97397,-1.947672
2025-04-20 22:42:31.626697,0.947304,12.492104,-3.593008,-2.2218
2025-04-20 22:42:32.631533,2.371769,14.845169,-4.921047,-0.131098
2025-04-20 22:42:33.653346,1.939907,13.490208,-5.575556,-2.201351
2025-04-20 22:42:34.692595,1.819464,13.455914,-6.409483,-3.67063
2025-04-20 22:42:35.698653,1.582512,11.939842,-5.082573,-3.808996
2025-04-20 22:42:36.710348,3.251625,10.901291,-5.427717,-2.114801
2025-04-20 22:42:37.716003,1.477394,14.340382,-5.683489,-1.738956
2025-04-20 22:42:38.729117,0.135712,13.666924,-3.907469,-2.008812
2025-04-20 22:42:39.810672,0.703661,12.56781,-10.757158,-6.478914
2025-04-20 22:42:40.854270,0.892467,13.492298,-6.142485,-2.105066
2025-04-20 22:42:41.823641,2.320915,11.952358,-7.240286,-3.459784
2025-04-20 22:42:42.890763,1.614233,12.920479,-5.713869,-2.275074
2025-04-20 22:42:43.901051,1.651016,12.421852,-5.952353,-2.28731
2025-04-20 22:42:44.922009,1.937729,13.031544,-5.330271,-0.861792
2025-04-20 22:42:45.980796,2.192566,13.362148,-3.096046,-1.130503
2025-04-20 22:42:47.072937,2.536633,13.62458,-5.832989,-4.312847
2025-04-20 22:42:48.044623,0.286642,11.755264,-4.340416,-2.949158
2025-04-20 22:42:49.074293,0.508736,12.181957,-4.340691,-1.0795
2025-04-20 22:42:50.093673,2.968513,12.435513,-5.434561,-0.088007
2025-04-20 22:42:51.172706,2.076523,10.263577,-5.005604,-3.763956
2025-04-20 22:42:52.131926,-0.041569,8.701668,-3.399033,-1.058876
2025-04-20 22:42:53.170461,2.391953,9.031727,-4.785526,-1.969997
2025-04-20 22:42:54.193785,2.134159,8.654358,-4.283131,-1.951544
2025-04-20 22:42:55.247156,4.144238,9.251606,-2.904814,-2.385805
2025-04-20 22:42:56.200201,3.23848,9.328857,-4.415974,-2.818933
2025-04-20 22:42:57.223347,3.040073,8.499107,-4.705202,-2.113735
2025-04-20 22:42:58.234024,2.517361,6.985466,-3.51009,-2.435843
2025-04-20 22:42:59.244704,3.667103,7.232944,-5.308174,-2.522682
2025-04-20 22:43:00.249794,4.761578,6.776009,-4.105997,-3.302315
2025-04-20 22:43:01.272374,2.889942,6.322304,-2.915129,-2.326052
2025-04-20 22:43:02.291528,3.31958,5.955338,-3.709024,-3.263124
2025-04-20 22:43:03.289639,3.569687,7.331451,-4.081591,-2.19319
2025-04-20 22:43:04.329465,2.162354,6.8274,-2.870922,-2.731157
2025-04-20 22:43:05.340101,4.62196,5.471867,-3.67359,-3.561262
2025-04-20 22:43:06.357472,4.475765,5.415443,-4.613503,-3.306976
2025-04-20 22:43:07.383007,5.725372,4.170509,-3.155455,-3.296955
2025-04-20 22:43:08.410381,4.695911,4.329922,-3.78002,-2.895741
2025-04-20 22:43:09.416838,4.526836,-17.60154,-3.313335,-2.76182
2025-04-20 22:43:10.479680,5.616287,3.911865,-2.91959,-2.4091
