num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,time,GPSFix,NumberOfSatellites
101,-78.6977594,35.7297511,24.995,-0.3958916962146759,-0.6312429904937744,0.028060324490070343,6.89,-3.99,0.0,12.587,2025-04-20 22:40:59.219587,6,10
102,-78.6978037,35.729813,24.995,-0.3954991400241852,-0.6311900615692139,0.02823094092309475,6.92,-4.0,0.0,12.587,2025-04-20 22:41:00.220693,6,10
103,-78.6978484,35.7298754,24.996,-0.39394304156303406,-0.6307695508003235,0.027843208983540535,6.91,-4.0,0.0,12.587,2025-04-20 22:41:01.221552,6,10
104,-78.6978928,35.7299374,24.998,-0.3924945294857025,-0.6303896307945251,0.027437500655651093,6.91,-4.0,0.0,12.587,2025-04-20 22:41:02.222463,6,10
105,-78.6979375,35.7299998,24.996,-0.3929475247859955,-0.6318075060844421,0.028349027037620544,6.88,-3.98,0.0,12.587,2025-04-20 22:41:03.223870,6,10
106,-78.6979816,35.7300615,24.995,-0.3761913776397705,-0.6301364302635193,0.025693921372294426,6.9,-3.99,0.0,12.587,2025-04-20 22:41:04.224813,6,10
107,-78.6980242,35.730121,24.999,-0.237434521317482,-0.6279297471046448,0.011632905341684818,6.16,-3.57,0.0,12.587,2025-04-20 22:41:05.225655,6,10
108,-78.6980606,35.7301719,24.992,-0.13347719609737396,-0.627385139465332,0.004052532371133566,5.1,-2.96,0.0,12.587,2025-04-20 22:41:06.226764,6,10
109,-78.6980898,35.7302126,24.989,-0.024476798251271248,-0.6274799108505249,-0.0036495616659522057,3.85,-2.25,0.0,12.587,2025-04-20 22:41:07.227388,6,10
110,-78.6981105,35.7302414,24.992,0.07659129798412323,-0.6275906562805176,-0.009240997023880482,2.45,-1.44,0.0,12.587,2025-04-20 22:41:08.228404,6,10
111,-78.6981213,35.7302565,24.995,0.14932550489902496,-0.6289680004119873,-0.01453488226979971,0.85,-0.5,0.0,12.587,2025-04-20 22:41:09.230292,6,10
112,-78.6981232,35.7302591,24.997,0.05710456147789955,-0.6272101402282715,-0.004507651552557945,-0.1,0.06,0.0,12.587,2025-04-20 22:41:10.232557,6,10
113,-78.6981218,35.7302571,24.994,0.00048652361147105694,-0.6280329823493958,0.0018512766109779477,-0.24,0.15,0.0,12.587,2025-04-20 22:41:11.234575,6,10
114,-78.6981205,35.7302549,24.997,-0.009143508039414883,-0.6283366084098816,0.004963414277881384,-0.13,0.1,0.0,12.587,2025-04-20 22:41:12.235836,6,10
115,-78.6981198,35.7302538,24.999,-0.006078966893255711,-0.1540910303592682,0.0028301402926445007,-0.04,0.07,0.0,12.587,2025-04-20 22:41:13.236741,6,10
116,-78.6981196,35.7302534,25.001,-0.003871695837005973,1.3149586915969849,-0.0009813000215217471,-0.01,0.06,0.0,12.587,2025-04-20 22:41:14.237136,6,10
117,-78.6981193,35.7302533,25.001,-0.0025260476395487785,1.9643034934997559,0.00041926998528651893,-0.01,0.06,0.0,12.587,2025-04-20 22:41:15.237912,6,10
118,-78.698119,35.7302533,25.001,-0.0020631614606827497,2.816282033920288,-0.0002393668401055038,-0.01,0.05,0.0,12.587,2025-04-20 22:41:16.239120,6,10
119,-78.6981188,35.7302532,25.001,-0.0011855664197355509,-2.808716058731079,-1.0435971489641815e-05,-0.02,0.03,0.0,12.587,2025-04-20 22:41:17.239800,6,10
120,-78.6981186,35.730253,25.001,-0.0007776737329550087,-1.6954662799835205,-0.0002880422689486295,-0.02,0.01,0.0,12.587,2025-04-20 22:41:18.240125,6,10
121,-78.6981185,35.7302529,25.002,-0.0009943534387275577,-1.944300889968872,0.0008390314178541303,-0.01,0.0,0.0,12.587,2025-04-20 22:41:19.240874,6,10
122,-78.6981184,35.7302528,25.004,-6.822774594184011e-05,-2.1401190757751465,0.0013098000781610608,0.0,0.0,0.0,12.587,2025-04-20 22:41:20.242036,6,10
123,-78.6981184,35.7302528,25.004,-0.001196343102492392,-0.6854573488235474,0.0008439167286269367,0.0,0.0,0.0,12.587,2025-04-20 22:41:21.242647,6,10
