time,dl_lw1,dl_lw2,dl_lw3,dl_lw4,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites
2025-04-20 22:41:08.957,411.64,2.88,0,3.3,110.728141269284,-78.6981183639257,35.7302523949332,24.9941844238079,0.129552075727475,-0.628593557384646,-0.0130956933462858,1.28497396914625,-0.755547206873424,0,12.587,6,10
2025-04-20 22:41:09.990,411.64,4.12,0,3.3,111.758257546657,-78.6981227406893,35.7302584714696,24.9965165150933,0.0793982785901442,-0.627635089661717,-0.00693165890638198,0.129655330676013,-0.075375773872176,0,12.587,6,10
2025-04-20 22:41:11.015,411.64,4.12,0,4.54,112.781028883713,-78.6981221065596,35.7302575379422,24.9946569133489,0.0128842385650814,-0.627852803691605,0.00045885501261753,-0.209344043719773,0.13029259953414,0,12.587,6,10
2025-04-20 22:41:11.961,412.48,4.12,0,4.54,113.726282158199,-78.6981208558332,35.7302555021792,24.9961788464746,-0.00650759655945441,-0.628253500539891,0.00411156667230747,-0.160108962598163,0.113685892090074,0,12.587,6,10
2025-04-20 22:41:12.963,412.48,5.35,0,4.54,114.726624404914,-78.6981199913629,35.7302541007132,24.9984532488098,-0.00691673765275385,-0.283738197475967,0.00341332533784105,-0.0646038035577795,0.0782012678525932,0,12.587,6,10
2025-04-20 22:41:13.953,412.48,5.35,0,6.19,115.716794866028,-78.698119656641,35.7302535132821,25.0004335897321,-0.00449680633220386,0.898916268278724,9.81194432782741e-05,-0.0184961540191623,0.0628320513397208,0,12.587,6,10
2025-04-20 22:41:14.960,412.48,5.35,0,7.42,116.72309387915,-78.6981193830718,35.7302533276906,25.001,-0.00289866586193574,1.78449594331061,3.14435777220759e-05,-0.01,0.06,0,12.587,6,10
2025-04-20 22:41:15.950,412.48,5.35,0,9.07,117.71154745068,-78.6981190865358,35.7302533,25.001,-0.00219668215902184,2.5705266519697,-4.93813687448708e-05,-0.01,0.0528845254932041,0,12.587,6,10
2025-04-20 22:41:17.008,412.48,5.35,0,10.72,118.768768237598,-78.6981188462464,35.7302532231232,25.001,-0.00138849426772865,-1.5080378362618,-6.33720597078111e-05,-0.0176876823759842,0.0346246352480315,0,12.587,6,10
2025-04-20 22:41:18.010,412.48,5.35,0,11.96,119.7708904606,-78.6981186458219,35.7302530458219,25.001,-0.000871125838547801,-1.95052242402918,-0.000224440018003348,-0.02,0.0145821907879938,0,12.587,6,10
